gid,state_abbr,state_fips,state_name,population,pop_sqmi,sqmi,shape__area,shape__length
"1",AL,"01",Alabama,"5024279",97.3,51632.79,12.8971685485001,17.2376579292563
"2",AK,"02",Alaska,"733391",1.2,587044.59,277.702990462211,402.448812163371
"3",AZ,"04",Arizona,"7151502",62.7,113984.7,28.8590896902251,23.2572697290375
"4",AR,"05",Arkansas,"3011524",56.6,53198.23,13.5174647428059,20.877179341548
"5",CA,"06",California,"39538223",250.2,158036.99,41.5336180842396,42.2601574991052
"6",CO,"08",Colorado,"5773714",55.5,104094.52,28.0415971951431,22.0256262721942
"7",CT,"09",Connecticut,"3605944",727.8,4954.46,1.39252465923551,5.72245921907398
"8",DE,"10",Delaware,"989948",503,1968.02,0.553340464881785,4.07536505514255
"9",DC,"11",District of Columbia,"689545",11179.4,61.68,0.0177698306006278,0.632462402279614
"10",FL,"12",Florida,"21538187",381.4,56473.43,13.3476723761734,41.0850101590848
